J0905-4536     0.988281  1.49e-16    35.000      0.83      179.70    136.349583    -45.614722    267.239      1.011  *         
J0905-5127     0.346287  2.49e-14     9.000      1.10      196.43    136.466342    -51.463531    271.632     -2.853  *         
J0907-5157     0.253556  1.83e-15    13.000      9.30      103.72    136.816250    -51.966458    272.150     -3.031  *         
J0908-1739     0.401626  6.69e-16     9.500      3.20       15.89    137.159092    -17.660464    246.119     19.850  *         
J0908-4913     0.106755  1.52e-14     2.800     10.00      180.37    137.148042    -49.218472    270.266     -1.019  *         
J0922+0638     0.430627  1.37e-14    10.500      4.20       27.27    140.558425      6.639806    225.420     36.392  *         
J0922-4949     0.950289  9.76e-14     6.900      0.52      237.10    140.562337    -49.820022    272.237      0.160  *         
J0924-5302     0.746295  3.55e-14    15.000      1.10      152.90    141.036208    -53.045611    274.712     -1.930  *         
J0924-5814     0.739501  4.88e-15    41.000      4.30       57.40    141.129167    -58.235111    278.395     -5.595  *         
J0932-5327     4.392159  8.37e-15    62.000      0.15      122.00    143.095250    -53.453056    275.885     -1.375  *         
J0934-5249     1.444773  4.65e-15    25.000      1.20      100.00    143.617917    -52.824222    275.690     -0.700  *         
J0940-5428     0.087545  3.29e-14     4.900      0.66      134.50    145.242583    -54.477944    277.510     -1.292  *         
J0941-5244     0.658558  1.14e-15    18.000      0.28      157.94    145.421446    -52.734578    276.446      0.092  *         
J0942-5552     0.664367  2.29e-14    11.000     10.00      180.20    145.565958    -55.881194    278.571     -2.230  *         
J0942-5657     0.808127  3.96e-14     7.000      0.72      159.74    145.726925    -56.962067    279.345     -2.990  *         
J0943+1631     1.087418  9.11e-17    70.100      1.40       20.32    145.875417     16.526944    216.609     45.380  *         
J0944-1354     0.570264  4.53e-17     6.900      0.60       12.50    146.120650    -13.911564    249.129     28.843  *         
J0945-4833     0.331586  4.83e-15     4.600      0.39       98.10    146.409392    -48.554028    274.199      3.674  *         
J0953+0755     0.253065  2.30e-16     9.500     84.00        2.96    148.288790      7.926597    228.908     43.697  *         
J0954-5430     0.472834  4.39e-14     7.500      0.36      200.30    148.525167    -54.514861    278.999     -0.101  *         
J0955-5304     0.862118  3.52e-15     7.800      0.94      156.90    148.872917    -53.071306    278.265      1.159  *         
J0957-5432     0.203557  1.95e-15     3.600      0.18      226.10    149.483375    -54.534417    279.448      0.227  *         
J1000-5149     0.255677  9.59e-16     4.500      0.26       72.80    150.117254    -51.832811    278.107      2.603  *         
J1001-5507     1.436583  5.14e-14    15.000      6.30      130.32    150.408250    -55.118528    280.226      0.085  *         
J1001-5559     1.661177  8.60e-16    17.000      0.64      159.30    150.285833    -55.983389    280.691     -0.648  *         
