#  ZA [deg]        H @ _ MHz       V @ _ MHz       H @ _ MHz       V @ _ MHz       H @ _ MHz       V @ _ MHz       H @ _ MHz       V @ _ MHz       H @ _ MHz       V @ _ MHz       H @ _ MHz       V @ _ MHz
   4.0000000e+01   3.4973593e+00   3.4686467e+00   3.1288348e+00   3.2360582e+00   2.9346292e+00   3.2275385e+00   2.8581749e+00   3.2584772e+00   2.2419035e+00   2.4357736e+00   2.0983942e+00   1.9815264e+00
   4.1000000e+01   3.4949142e+00   3.4633354e+00   3.1257908e+00   3.2338050e+00   2.9278814e+00   3.2224978e+00   2.8507749e+00   3.2528460e+00   2.2378058e+00   2.4302387e+00   2.1002279e+00   1.9816589e+00
   4.2000000e+01   3.4930536e+00   3.4584568e+00   3.1233585e+00   3.2322328e+00   2.9221836e+00   3.2181626e+00   2.8443715e+00   3.2478866e+00   2.2344746e+00   2.4252759e+00   2.1022271e+00   1.9825079e+00
   4.3000000e+01   3.4917606e+00   3.4540788e+00   3.1215919e+00   3.2312950e+00   2.9175428e+00   3.2144242e+00   2.8390492e+00   3.2435674e+00   2.2319031e+00   2.4208722e+00   2.1043857e+00   1.9840591e+00
   4.4000000e+01   3.4909682e+00   3.4501539e+00   3.1204708e+00   3.2310210e+00   2.9139992e+00   3.2113233e+00   2.8348153e+00   3.2398146e+00   2.2300726e+00   2.4170300e+00   2.1067641e+00   1.9862745e+00
   4.5000000e+01   3.4907093e+00   3.4467552e+00   3.1199430e+00   3.2314263e+00   2.9114543e+00   3.2088200e+00   2.8316380e+00   3.2366673e+00   2.2289359e+00   2.4136729e+00   2.1094833e+00   1.9891527e+00
   4.6000000e+01   3.4909720e+00   3.4439745e+00   3.1200113e+00   3.2325042e+00   2.9098945e+00   3.2069085e+00   2.8294337e+00   3.2340616e+00   2.2283955e+00   2.4107989e+00   2.1126185e+00   1.9926924e+00
   4.7000000e+01   3.4917661e+00   3.4417811e+00   3.1206495e+00   3.2341837e+00   2.9093042e+00   3.2056488e+00   2.8281785e+00   3.2319608e+00   2.2284227e+00   2.4084551e+00   2.1162024e+00   1.9969393e+00
   4.8000000e+01   3.4930803e+00   3.4402292e+00   3.1218926e+00   3.2364821e+00   2.9096511e+00   3.2051172e+00   2.8277567e+00   3.2303684e+00   2.2290389e+00   2.4065727e+00   2.1202366e+00   2.0018966e+00
   4.9000000e+01   3.4948610e+00   3.4391395e+00   3.1237191e+00   3.2394002e+00   2.9108568e+00   3.2052592e+00   2.8281964e+00   3.2293318e+00   2.2303057e+00   2.4051666e+00   2.1246902e+00   2.0075326e+00
   5.0000000e+01   3.4972104e+00   3.4386907e+00   3.1262124e+00   3.2429796e+00   2.9129702e+00   3.2061137e+00   2.8294796e+00   3.2288268e+00   2.2323329e+00   2.4042899e+00   2.1295629e+00   2.0138679e+00
   5.1000000e+01   3.5000921e+00   3.4388323e+00   3.1293410e+00   3.2471668e+00   2.9160256e+00   3.2076437e+00   2.8316004e+00   3.2288861e+00   2.2351164e+00   2.4038963e+00   2.1348404e+00   2.0209030e+00
   5.2000000e+01   3.5035434e+00   3.4395626e+00   3.1331350e+00   3.2520192e+00   2.9199765e+00   3.2097457e+00   2.8345661e+00   3.2294782e+00   2.2386906e+00   2.4039466e+00   2.1404905e+00   2.0286672e+00
   5.3000000e+01   3.5076162e+00   3.4407699e+00   3.1375446e+00   3.2575354e+00   2.9248337e+00   3.2124318e+00   2.8383239e+00   3.2305797e+00   2.2431421e+00   2.4044202e+00   2.1464790e+00   2.0371440e+00
   5.4000000e+01   3.5122589e+00   3.4423688e+00   3.1426872e+00   3.2636525e+00   2.9305782e+00   3.2157611e+00   2.8429782e+00   3.2323163e+00   2.2484938e+00   2.4053145e+00   2.1528025e+00   2.0463463e+00
   5.5000000e+01   3.5177067e+00   3.4445505e+00   3.1485143e+00   3.2702540e+00   2.9373795e+00   3.2197483e+00   2.8485301e+00   3.2345952e+00   2.2548081e+00   2.4066205e+00   2.1594582e+00   2.0562084e+00
   5.6000000e+01   3.5237938e+00   3.4472384e+00   3.1551241e+00   3.2773110e+00   2.9451905e+00   3.2242961e+00   2.8551448e+00   3.2374045e+00   2.2621175e+00   2.4082937e+00   2.1664450e+00   2.0666251e+00
   5.7000000e+01   3.5307136e+00   3.4504459e+00   3.1624076e+00   3.2847763e+00   2.9540796e+00   3.2294349e+00   2.8629186e+00   3.2407108e+00   2.2703978e+00   2.4102880e+00   2.1737736e+00   2.0775665e+00
   5.8000000e+01   3.5383902e+00   3.4541473e+00   3.1704868e+00   3.2925534e+00   2.9641033e+00   3.2350092e+00   2.8717635e+00   3.2443211e+00   2.2795613e+00   2.4125145e+00   2.1814713e+00   2.0889276e+00
   5.9000000e+01   3.5468209e+00   3.4582546e+00   3.1793079e+00   3.3005974e+00   2.9751612e+00   3.2408471e+00   2.8816768e+00   3.2481168e+00   2.2895886e+00   2.4149499e+00   2.1895720e+00   2.1007033e+00
   6.0000000e+01   3.5561210e+00   3.4629712e+00   3.1889843e+00   3.3089336e+00   2.9872256e+00   3.2470206e+00   2.8926795e+00   3.2521624e+00   2.3004465e+00   2.4176325e+00   2.1981117e+00   2.1128471e+00
   6.1000000e+01   3.5661321e+00   3.4681378e+00   3.1995066e+00   3.3175024e+00   3.0002724e+00   3.2534541e+00   2.9046875e+00   3.2563690e+00   2.3120455e+00   2.4205496e+00   2.2070971e+00   2.1252590e+00
   6.2000000e+01   3.5769395e+00   3.4736279e+00   3.2109374e+00   3.3262800e+00   3.0142816e+00   3.2600987e+00   2.9176762e+00   3.2607193e+00   2.3242986e+00   2.4237341e+00   2.2165046e+00   2.1379703e+00
   6.3000000e+01   3.5885241e+00   3.4795237e+00   3.2232573e+00   3.3353084e+00   3.0292589e+00   3.2670701e+00   2.9316784e+00   3.2653107e+00   2.3372081e+00   2.4272216e+00   2.2262619e+00   2.1509329e+00
   6.4000000e+01   3.6009875e+00   3.4858621e+00   3.2363985e+00   3.3446883e+00   3.0451617e+00   3.2744100e+00   2.9465980e+00   3.2700897e+00   2.3508040e+00   2.4309039e+00   2.2363318e+00   2.1642304e+00
   6.5000000e+01   3.6141340e+00   3.4926863e+00   3.2503060e+00   3.3543583e+00   3.0619082e+00   3.2820300e+00   2.9623282e+00   3.2749728e+00   2.3651296e+00   2.4348125e+00   2.2466515e+00   2.1778897e+00
   6.6000000e+01   3.6280231e+00   3.5001446e+00   3.2649065e+00   3.3641904e+00   3.0794452e+00   3.2899855e+00   2.9788276e+00   3.2801184e+00   2.3801464e+00   2.4389884e+00   2.2571461e+00   2.1918218e+00
   6.7000000e+01   3.6425720e+00   3.5081044e+00   3.2801762e+00   3.3742637e+00   3.0977165e+00   3.2984293e+00   2.9960025e+00   3.2856168e+00   2.3958208e+00   2.4433203e+00   2.2678219e+00   2.2061381e+00
   6.8000000e+01   3.6576987e+00   3.5164981e+00   3.2961134e+00   3.3847951e+00   3.1166845e+00   3.3073205e+00   3.0137561e+00   3.2913382e+00   2.4120918e+00   2.4479060e+00   2.2787078e+00   2.2208355e+00
   6.9000000e+01   3.6734280e+00   3.5255130e+00   3.3127713e+00   3.3959164e+00   3.1362764e+00   3.3166059e+00   3.0320185e+00   3.2973851e+00   2.4289940e+00   2.4529593e+00   2.2898302e+00   2.2358574e+00
   7.0000000e+01   3.6897051e+00   3.5353011e+00   3.3301960e+00   3.4076052e+00   3.1564333e+00   3.3265022e+00   3.0508325e+00   3.3040135e+00   2.4466395e+00   2.4584848e+00   2.3012671e+00   2.2513569e+00
   7.1000000e+01   3.7065463e+00   3.5459516e+00   3.3484069e+00   3.4199220e+00   3.1771509e+00   3.3372753e+00   3.0702723e+00   3.3112953e+00   2.4651067e+00   2.4645920e+00   2.3130889e+00   2.2673500e+00
   7.2000000e+01   3.7240145e+00   3.5575644e+00   3.3674552e+00   3.4331125e+00   3.1985675e+00   3.3490655e+00   3.0904799e+00   3.3192863e+00   2.4844384e+00   2.4715109e+00   2.3254209e+00   2.2839123e+00
   7.3000000e+01   3.7422446e+00   3.5701841e+00   3.3874475e+00   3.4474581e+00   3.2209400e+00   3.3620924e+00   3.1116597e+00   3.3282687e+00   2.5046869e+00   2.4793086e+00   2.3383859e+00   2.3012816e+00
   7.4000000e+01   3.7614407e+00   3.5838993e+00   3.4085778e+00   3.4631524e+00   3.2446204e+00   3.3767125e+00   3.1340959e+00   3.3385516e+00   2.5259851e+00   2.4881401e+00   2.3521232e+00   2.3196125e+00
   7.5000000e+01   3.7818931e+00   3.5989793e+00   3.4311631e+00   3.4804147e+00   3.2700306e+00   3.3932299e+00   3.1581856e+00   3.3504259e+00   2.5486289e+00   2.4983553e+00   2.3669079e+00   2.3391530e+00
   7.6000000e+01   3.8039771e+00   3.6156930e+00   3.4557103e+00   3.4996444e+00   3.2976419e+00   3.4119137e+00   3.1844251e+00   3.3643110e+00   2.5731167e+00   2.5103572e+00   2.3831597e+00   2.3601941e+00
   7.7000000e+01   3.8283172e+00   3.6343586e+00   3.4829938e+00   3.5214095e+00   3.3281423e+00   3.4332326e+00   3.2135179e+00   3.3806934e+00   2.6001624e+00   2.5246731e+00   2.4014239e+00   2.3830310e+00
   7.8000000e+01   3.8558692e+00   3.6554708e+00   3.5143363e+00   3.5465063e+00   3.3625086e+00   3.4578645e+00   3.2464868e+00   3.4000990e+00   2.6308322e+00   2.5421521e+00   2.4224694e+00   2.4081686e+00
   7.9000000e+01   3.8881672e+00   3.6798107e+00   3.5506904e+00   3.5752868e+00   3.4023285e+00   3.4867933e+00   3.2845715e+00   3.4236024e+00   2.6662183e+00   2.5634046e+00   2.4475172e+00   2.4363331e+00
   8.0000000e+01   3.9244375e+00   3.7081429e+00   3.5943895e+00   3.6095804e+00   3.4470790e+00   3.5204741e+00   3.3286752e+00   3.4523920e+00   2.7070642e+00   2.5893530e+00   2.4765383e+00   2.4680618e+00
   8.1000000e+01   3.9653998e+00   3.7424442e+00   3.6427243e+00   3.6495604e+00   3.4983829e+00   3.5616509e+00   3.3765759e+00   3.4861799e+00   2.7518429e+00   2.6205760e+00   2.5101160e+00   2.5044921e+00
   8.2000000e+01   4.0128013e+00   3.7826589e+00   3.6967340e+00   3.6959669e+00   3.5580260e+00   3.6108214e+00   3.4336861e+00   3.5295475e+00   2.8026720e+00   2.6582288e+00   2.5493577e+00   2.5469005e+00
   8.3000000e+01   4.0673037e+00   3.8308957e+00   3.7584612e+00   3.7517679e+00   3.6273080e+00   3.6691544e+00   3.5007993e+00   3.5834969e+00   2.8633268e+00   2.7050957e+00   2.5967630e+00   2.5963988e+00
   8.4000000e+01   4.1313736e+00   3.8864223e+00   3.8321995e+00   3.8174505e+00   3.7099899e+00   3.7408936e+00   3.5817545e+00   3.6508259e+00   2.9359450e+00   2.7639583e+00   2.6537046e+00   2.6553605e+00
   8.5000000e+01   4.2073695e+00   3.9536210e+00   3.9211483e+00   3.8972410e+00   3.8103440e+00   3.8296783e+00   3.6801428e+00   3.7358422e+00   3.0246087e+00   2.8388566e+00   2.7240438e+00   2.7277980e+00
